_id,County,Jurisdiction,Planning Period,Record Type,Review Status,Date Received,Date Reviewed,Compliance Status
65,FRESNO,HURON,6,INITIAL DRAFT,OUT,10/20/2023,1/18/2024,OUT
66,FRESNO,KERMAN,6,SUBSEQUENT DRAFT,IN REVIEW,2/27/2024,,OUT
67,FRESNO,KINGSBURG,6,SUBSEQUENT DRAFT,IN REVIEW,2/14/2024,,OUT
68,FRESNO,MENDOTA,6,INITIAL DRAFT,OUT,9/29/2023,12/26/2023,OUT
69,FRESNO,ORANGE COVE,6,SUBSEQUENT DRAFT,IN REVIEW,2/14/2024,,OUT
70,FRESNO,PARLIER,6,INITIAL DRAFT,OUT,11/13/2023,2/9/2024,OUT
71,FRESNO,REEDLEY,6,SUBSEQUENT DRAFT,IN,2/16/2024,2/27/2024,OUT
72,FRESNO,SAN JOAQUIN,6,SUBSEQUENT DRAFT,IN,3/11/2024,3/19/2024,OUT
73,FRESNO,SANGER,6,INITIAL DRAFT,OUT,10/9/2023,1/4/2024,OUT
74,FRESNO,SELMA,6,INITIAL DRAFT,IN REVIEW,12/28/2023,,OUT
75,GLENN,GLENN COUNTY,6,ADOPTED,OUT,12/22/2023,2/20/2024,OUT
76,GLENN,ORLAND,6,SUBSEQUENT DRAFT,IN,11/20/2023,11/21/2023,OUT
77,GLENN,WILLOWS,6,ADOPTED,IN,2/15/2023,3/28/2023,IN
78,HUMBOLDT,ARCATA,6,ADOPTED,IN,12/23/2019,1/28/2020,IN
79,HUMBOLDT,BLUE LAKE,6,SUBSEQUENT DRAFT,OUT,8/28/2023,9/20/2023,OUT
80,HUMBOLDT,EUREKA,6,ADOPTED,IN,11/3/2022,11/10/2022,IN
81,HUMBOLDT,FERNDALE,6,ADOPTED,IN,10/29/2019,12/11/2019,IN
82,HUMBOLDT,FORTUNA,6,ADOPTED,IN,8/26/2019,9/16/2019,IN
83,HUMBOLDT,HUMBOLDT COUNTY,6,ADOPTED,IN,8/27/2019,10/22/2019,IN
84,HUMBOLDT,RIO DELL,6,ADOPTED,IN,6/16/2022,8/9/2022,IN
85,HUMBOLDT,TRINIDAD,6,ADOPTED,IN,4/22/2020,5/12/2020,IN
86,IMPERIAL,BRAWLEY,6,ADOPTED,IN,8/23/2023,10/16/2023,IN
87,IMPERIAL,CALEXICO,6,SUBSEQUENT DRAFT,OUT,7/13/2022,9/9/2022,OUT
88,IMPERIAL,CALIPATRIA,6,ADOPTED,IN,8/5/2022,9/30/2022,IN
89,IMPERIAL,EL CENTRO,6,ADOPTED,IN,2/18/2022,4/11/2022,IN
90,IMPERIAL,HOLTVILLE,6,ADOPTED,IN,6/13/2022,7/22/2022,IN
91,IMPERIAL,IMPERIAL,6,ADOPTED,IN,9/22/2022,9/30/2022,IN
92,IMPERIAL,IMPERIAL COUNTY,6,ADOPTED,IN,2/17/2022,3/16/2022,IN
93,IMPERIAL,WESTMORLAND,6,SUBSEQUENT DRAFT,IN REVIEW,3/8/2024,,OUT
94,INYO,BISHOP,6,ADOPTED,IN,6/9/2022,8/1/2022,IN
95,INYO,INYO COUNTY,6,ADOPTED,IN,9/29/2023,10/30/2023,IN
96,KERN,ARVIN,6,SUBSEQUENT DRAFT,OUT,1/11/2024,3/11/2024,OUT
97,KERN,BAKERSFIELD,6,INITIAL DRAFT,OUT,6/22/2023,9/20/2023,OUT
98,KERN,CALIFORNIA CITY,6,NEW CYCLE,DUE,12/31/2023,12/31/2023,OUT
