_id,County,Jurisdiction,Planning Period,Record Type,Review Status,Date Received,Date Reviewed,Compliance Status
281,ORANGE,LOS ALAMITOS,6,ADOPTED,IN,3/6/2023,5/1/2023,IN
282,ORANGE,MISSION VIEJO,6,ADOPTED,IN,1/27/2024,2/8/2024,IN
283,ORANGE,NEWPORT BEACH,6,ADOPTED,IN,9/15/2022,10/5/2022,IN
284,ORANGE,ORANGE,6,ADOPTED,IN,11/3/2023,1/2/2024,IN
285,ORANGE,ORANGE COUNTY,6,SUBSEQUENT DRAFT,OUT,7/31/2023,9/29/2023,OUT
286,ORANGE,PLACENTIA,6,ADOPTED,IN,2/23/2024,2/29/2024,IN
287,ORANGE,RANCHO SANTA MARGARITA,6,ADOPTED,IN,8/25/2022,9/13/2022,IN
288,ORANGE,SAN CLEMENTE,6,ADOPTED,IN,9/22/2022,10/12/2022,IN
289,ORANGE,SAN JUAN CAPISTRANO,6,ADOPTED,IN,8/15/2022,9/22/2022,IN
290,ORANGE,SANTA ANA,6,ADOPTED,IN,7/26/2022,9/16/2022,IN
291,ORANGE,SEAL BEACH,6,SUBSEQUENT DRAFT,OUT,8/31/2023,10/30/2023,OUT
292,ORANGE,STANTON,6,ADOPTED,IN,7/8/2022,8/30/2022,IN
293,ORANGE,TUSTIN,6,ADOPTED,IN,10/5/2022,10/10/2022,IN
294,ORANGE,VILLA PARK,6,SUBSEQUENT DRAFT,OUT,5/18/2023,7/12/2023,OUT
295,ORANGE,WESTMINSTER,6,ADOPTED,IN,3/27/2023,5/22/2023,IN
296,ORANGE,YORBA LINDA,6,SUBSEQUENT DRAFT,IN,2/16/2024,2/23/2024,IN
297,PLACER,AUBURN,6,ADOPTED,IN,6/3/2021,8/26/2021,IN
298,PLACER,COLFAX,6,ADOPTED,IN,10/5/2021,12/27/2021,IN
299,PLACER,LINCOLN,6,ADOPTED,IN,5/21/2021,8/12/2021,IN
300,PLACER,LOOMIS,6,ADOPTED,IN,8/25/2021,11/19/2021,IN
301,PLACER,PLACER COUNTY,6,SUBSEQUENT DRAFT,IN REVIEW,3/14/2024,,IN
302,PLACER,ROCKLIN,6,ADOPTED,IN,9/1/2021,11/29/2021,IN
303,PLACER,ROSEVILLE,6,ADOPTED,IN,8/19/2021,11/17/2021,IN
304,PLUMAS,PLUMAS COUNTY,6,ADOPTED,IN,10/31/2019,12/5/2019,IN
305,PLUMAS,PORTOLA,6,ADOPTED,IN,8/20/2019,10/2/2019,IN
306,RIVERSIDE,BANNING,6,ADOPTED,IN REVIEW,2/1/2024,,OUT
307,RIVERSIDE,BEAUMONT,6,ADOPTED,IN,10/18/2022,12/12/2022,IN
308,RIVERSIDE,BLYTHE,6,SUBSEQUENT DRAFT,OUT,12/28/2023,2/26/2024,OUT
309,RIVERSIDE,CALIMESA,6,SUBSEQUENT DRAFT,OUT,11/22/2023,1/19/2024,OUT
310,RIVERSIDE,CANYON LAKE,6,SUBSEQUENT DRAFT,OUT,1/5/2024,3/4/2024,OUT
311,RIVERSIDE,CATHEDRAL,6,ADOPTED,IN,7/10/2023,7/26/2023,IN
312,RIVERSIDE,COACHELLA,6,ADOPTED,OUT,10/2/2023,12/1/2023,OUT
313,RIVERSIDE,CORONA,6,ADOPTED,IN,10/4/2022,10/12/2022,IN
314,RIVERSIDE,DESERT HOT SPRINGS,6,ADOPTED,IN,11/15/2022,1/12/2023,IN
315,RIVERSIDE,EASTVALE,6,ADOPTED,IN,5/6/2022,6/21/2022,IN
316,RIVERSIDE,HEMET,6,SUBSEQUENT DRAFT,OUT,10/16/2023,12/15/2023,OUT
317,RIVERSIDE,INDIAN WELLS,6,SUBSEQUENT DRAFT,OUT,11/15/2023,12/12/2023,OUT
318,RIVERSIDE,INDIO,6,ADOPTED,IN,4/8/2022,4/20/2022,IN
319,RIVERSIDE,JURUPA VALLEY,6,ADOPTED,IN,2/22/2022,4/21/2022,IN
320,RIVERSIDE,LA QUINTA,6,ADOPTED,IN REVIEW,2/28/2024,,OUT
321,RIVERSIDE,LAKE ELSINORE,6,ADOPTED,IN,8/25/2022,10/24/2022,IN
322,RIVERSIDE,MENIFEE,6,ADOPTED,IN,3/10/2023,4/5/2023,IN
323,RIVERSIDE,MORENO VALLEY,6,ADOPTED,IN,8/15/2022,10/11/2022,IN
324,RIVERSIDE,MURRIETA,6,ADOPTED,IN,10/26/2023,12/22/2023,IN
325,RIVERSIDE,NORCO,6,ADOPTED,IN,10/10/2022,10/13/2022,IN
326,RIVERSIDE,PALM DESERT,6,ADOPTED,IN,10/12/2022,11/4/2022,IN
327,RIVERSIDE,PALM SPRINGS,6,ADOPTED,IN,11/30/2023,1/19/2024,IN
328,RIVERSIDE,PERRIS,6,ADOPTED,IN,8/3/2022,9/22/2022,IN
329,RIVERSIDE,RANCHO MIRAGE,6,ADOPTED,IN,7/28/2022,8/17/2022,IN
330,RIVERSIDE,RIVERSIDE,6,ADOPTED,IN,8/22/2022,9/26/2022,IN
331,RIVERSIDE,RIVERSIDE COUNTY,6,SUBSEQUENT DRAFT,OUT,1/9/2024,3/8/2024,OUT
332,RIVERSIDE,SAN JACINTO,6,ADOPTED,IN,11/8/2023,1/4/2024,IN
333,RIVERSIDE,TEMECULA,6,ADOPTED,IN,10/17/2022,12/15/2022,IN
334,RIVERSIDE,WILDOMAR,6,ADOPTED,IN,10/18/2021,1/10/2022,IN
335,SACRAMENTO,CITRUS HEIGHTS,6,ADOPTED,IN,5/28/2021,8/18/2021,IN
336,SACRAMENTO,ELK GROVE,6,ADOPTED,IN,12/13/2021,2/16/2022,IN
337,SACRAMENTO,FOLSOM,6,ADOPTED,IN,8/27/2021,10/22/2021,IN
338,SACRAMENTO,GALT,6,ADOPTED,IN,5/4/2022,5/12/2022,IN
339,SACRAMENTO,ISLETON,6,ADOPTED,IN,10/6/2022,12/5/2022,IN
340,SACRAMENTO,RANCHO CORDOVA,6,ADOPTED,IN,6/30/2021,9/27/2021,IN
341,SACRAMENTO,SACRAMENTO,6,ADOPTED,IN,12/14/2021,12/22/2021,IN
342,SACRAMENTO,SACRAMENTO COUNTY,6,ADOPTED,IN,3/10/2022,5/9/2022,IN
343,SAN BENITO,HOLLISTER,6,INITIAL DRAFT,IN REVIEW,3/13/2024,,OUT
344,SAN BENITO,SAN BENITO COUNTY,6,NEW CYCLE,DUE,12/15/2023,12/15/2023,OUT
345,SAN BENITO,SAN JUAN BAUTISTA,6,INITIAL DRAFT,OUT,9/25/2023,12/20/2023,OUT
346,SAN BERNARDINO,ADELANTO,6,SUBSEQUENT DRAFT,IN REVIEW,3/13/2024,,OUT
347,SAN BERNARDINO,APPLE VALLEY,6,ADOPTED,IN,2/22/2023,2/24/2023,IN
348,SAN BERNARDINO,BARSTOW,6,ADOPTED,OUT,12/17/2021,3/16/2022,OUT
349,SAN BERNARDINO,BIG BEAR LAKE,6,ADOPTED,IN,9/23/2022,10/10/2022,IN
350,SAN BERNARDINO,CHINO,6,ADOPTED,OUT,1/20/2023,3/9/2023,OUT
351,SAN BERNARDINO,CHINO HILLS,6,ADOPTED,IN,8/17/2022,9/8/2022,IN
352,SAN BERNARDINO,COLTON,6,SUBSEQUENT DRAFT,OUT,10/12/2023,12/11/2023,OUT
353,SAN BERNARDINO,FONTANA,6,ADOPTED,IN,7/29/2022,8/9/2022,IN
354,SAN BERNARDINO,GRAND TERRACE,6,DRAFT,OUT,12/15/2021,2/10/2022,OUT
355,SAN BERNARDINO,HESPERIA,6,SUBSEQUENT DRAFT,IN,1/25/2023,3/24/2023,OUT
356,SAN BERNARDINO,HIGHLAND,6,ADOPTED,IN,6/23/2023,8/18/2023,IN
357,SAN BERNARDINO,LOMA LINDA,6,SUBSEQUENT DRAFT,OUT,1/12/2023,3/13/2023,OUT
358,SAN BERNARDINO,MONTCLAIR,6,SUBSEQUENT DRAFT,IN,7/19/2022,7/27/2022,OUT
359,SAN BERNARDINO,NEEDLES,6,ADOPTED,IN,9/15/2022,9/30/2022,IN
360,SAN BERNARDINO,ONTARIO,6,ADOPTED,IN,8/23/2022,10/7/2022,IN
361,SAN BERNARDINO,RANCHO CUCAMONGA,6,ADOPTED,IN,7/19/2022,9/7/2022,IN
362,SAN BERNARDINO,REDLANDS,6,ADOPTED,IN,10/6/2022,10/7/2022,IN
363,SAN BERNARDINO,RIALTO,6,ADOPTED,OUT,8/4/2023,10/3/2023,OUT
364,SAN BERNARDINO,SAN BERNARDINO,6,ADOPTED,IN REVIEW,3/12/2024,,OUT
365,SAN BERNARDINO,SAN BERNARDINO COUNTY,6,ADOPTED,IN,9/29/2022,11/28/2022,IN
366,SAN BERNARDINO,TWENTYNINE PALMS,6,ADOPTED,IN,1/4/2023,2/27/2023,IN
367,SAN BERNARDINO,UPLAND,6,SUBSEQUENT DRAFT,IN REVIEW,2/13/2024,,OUT
368,SAN BERNARDINO,VICTORVILLE,6,ADOPTED,IN,1/20/2022,2/9/2022,IN
369,SAN BERNARDINO,YUCAIPA,6,ADOPTED,IN,10/6/2022,10/21/2022,IN
370,SAN BERNARDINO,YUCCA VALLEY,6,ADOPTED,IN,4/13/2022,6/10/2022,IN
371,SAN DIEGO,CARLSBAD,6,ADOPTED,IN,4/15/2021,7/13/2021,IN
372,SAN DIEGO,CHULA VISTA,6,ADOPTED,IN,8/29/2022,10/28/2022,IN
373,SAN DIEGO,CORONADO,6,SUBSEQUENT DRAFT,OUT,1/17/2024,3/5/2024,OUT
374,SAN DIEGO,DEL MAR,6,ADOPTED,IN,4/6/2023,5/31/2023,IN
375,SAN DIEGO,EL CAJON,6,ADOPTED,IN,10/13/2022,10/27/2022,IN
376,SAN DIEGO,ENCINITAS,6,ADOPTED,IN,4/14/2021,7/13/2021,IN
377,SAN DIEGO,ESCONDIDO,6,ADOPTED,IN,10/13/2023,12/12/2023,IN
378,SAN DIEGO,IMPERIAL BEACH,6,ADOPTED,IN,6/28/2021,9/20/2021,IN
379,SAN DIEGO,LA MESA,6,ADOPTED,IN,5/8/2023,7/6/2023,IN
380,SAN DIEGO,LEMON GROVE,6,SUBSEQUENT DRAFT,OUT,10/27/2023,12/26/2023,OUT
381,SAN DIEGO,NATIONAL CITY,6,ADOPTED,IN,8/13/2021,11/10/2021,IN
382,SAN DIEGO,OCEANSIDE,6,ADOPTED,IN,9/18/2023,11/14/2023,IN
383,SAN DIEGO,POWAY,6,SUBSEQUENT DRAFT,OUT,1/22/2024,3/13/2024,OUT
384,SAN DIEGO,SAN DIEGO,6,ADOPTED,IN,6/14/2021,9/10/2021,IN
385,SAN DIEGO,SAN DIEGO COUNTY,6,ADOPTED,IN,8/4/2021,11/2/2021,IN
386,SAN DIEGO,SAN MARCOS,6,ADOPTED,IN,8/3/2021,9/16/2021,IN
387,SAN DIEGO,SANTEE,6,ADOPTED,IN,10/27/2022,12/6/2022,IN
388,SAN DIEGO,SOLANA BEACH,6,ADOPTED,IN,5/15/2023,6/8/2023,IN
389,SAN DIEGO,VISTA,6,ADOPTED,IN,7/12/2022,9/7/2022,IN
390,SAN FRANCISCO,SAN FRANCISCO,6,ADOPTED,IN,1/31/2023,2/1/2023,IN
391,SAN JOAQUIN,ESCALON,6,INITIAL DRAFT,IN REVIEW,12/29/2023,,OUT
392,SAN JOAQUIN,LATHROP,6,NEW CYCLE,DUE,12/31/2023,12/31/2023,OUT
393,SAN JOAQUIN,LODI,6,INITIAL DRAFT,IN,11/2/2023,1/29/2024,OUT
394,SAN JOAQUIN,MANTECA,6,NEW CYCLE,DUE,12/31/2023,12/31/2023,OUT
395,SAN JOAQUIN,RIPON,6,NEW CYCLE,DUE,12/31/2023,12/31/2023,OUT
396,SAN JOAQUIN,SAN JOAQUIN COUNTY,6,INITIAL DRAFT,IN REVIEW,3/18/2024,,OUT
397,SAN JOAQUIN,STOCKTON,6,SUBSEQUENT DRAFT,IN REVIEW,2/6/2024,,OUT
398,SAN JOAQUIN,TRACY,6,INITIAL DRAFT,OUT,11/22/2023,2/20/2024,OUT
399,SAN LUIS OBISPO,ARROYO GRANDE,6,ADOPTED,IN,2/10/2021,5/5/2021,IN
400,SAN LUIS OBISPO,ATASCADERO,6,ADOPTED,IN,12/9/2020,1/12/2021,IN
401,SAN LUIS OBISPO,GROVER BEACH,6,ADOPTED,IN,12/2/2020,3/2/2021,IN
402,SAN LUIS OBISPO,MORRO BAY,6,ADOPTED,IN,9/2/2020,9/4/2020,IN
403,SAN LUIS OBISPO,PASO ROBLES,6,ADOPTED,IN,12/9/2020,3/9/2021,IN
404,SAN LUIS OBISPO,PISMO BEACH,6,ADOPTED,IN,11/23/2020,2/16/2021,IN
405,SAN LUIS OBISPO,SAN LUIS OBISPO,6,ADOPTED,IN,7/23/2021,9/3/2021,IN
406,SAN LUIS OBISPO,SAN LUIS OBISPO COUNTY,6,ADOPTED,IN,12/10/2020,3/10/2021,IN
407,SAN MATEO,ATHERTON,6,ADOPTED,OUT,2/3/2023,4/4/2023,OUT
408,SAN MATEO,BELMONT,6,SUBSEQUENT DRAFT,OUT,10/19/2023,12/18/2023,OUT
409,SAN MATEO,BRISBANE,6,ADOPTED,IN,5/19/2023,5/25/2023,IN
410,SAN MATEO,BURLINGAME,6,ADOPTED,IN REVIEW,3/15/2024,,OUT
411,SAN MATEO,COLMA,6,ADOPTED,IN,1/11/2024,3/11/2024,IN
412,SAN MATEO,DALY CITY,6,SUBSEQUENT DRAFT,OUT,12/15/2023,2/13/2024,OUT
413,SAN MATEO,EAST PALO ALTO,6,SUBSEQUENT DRAFT,IN,12/22/2023,2/20/2024,OUT
414,SAN MATEO,FOSTER CITY,6,SUBSEQUENT DRAFT,IN,1/31/2024,2/2/2024,OUT
415,SAN MATEO,HALF MOON BAY,6,INITIAL DRAFT,OUT,6/1/2023,8/30/2023,OUT
416,SAN MATEO,HILLSBOROUGH,6,ADOPTED,IN REVIEW,2/1/2024,,OUT
417,SAN MATEO,MENLO PARK,6,ADOPTED,IN REVIEW,1/24/2024,,OUT
418,SAN MATEO,MILLBRAE,6,ADOPTED,IN,2/28/2024,3/1/2024,IN
419,SAN MATEO,PACIFICA,6,ADOPTED,IN REVIEW,1/29/2024,,OUT
420,SAN MATEO,PORTOLA VALLEY,6,ADOPTED,IN,1/26/2024,1/30/2024,IN
421,SAN MATEO,REDWOOD CITY,6,ADOPTED,IN,2/22/2023,3/27/2023,IN
422,SAN MATEO,SAN BRUNO,6,SUBSEQUENT DRAFT,IN REVIEW,3/19/2024,,OUT
423,SAN MATEO,SAN CARLOS,6,ADOPTED,OUT,8/25/2023,10/24/2023,OUT
424,SAN MATEO,SAN MATEO,6,SUBSEQUENT DRAFT,IN,11/22/2023,1/19/2024,OUT
425,SAN MATEO,SAN MATEO COUNTY,6,INITIAL DRAFT,OUT,1/20/2023,4/20/2023,OUT
426,SAN MATEO,SOUTH SAN FRANCISCO,6,ADOPTED,IN,10/27/2023,11/20/2023,IN
427,SAN MATEO,WOODSIDE,6,SUBSEQUENT DRAFT,IN REVIEW,3/15/2024,,OUT
428,SANTA BARBARA,BUELLTON,6,ADOPTED,IN,6/2/2023,8/1/2023,IN
429,SANTA BARBARA,CARPINTERIA,6,ADOPTED,IN REVIEW,1/24/2024,,OUT
430,SANTA BARBARA,GOLETA,6,ADOPTED,IN,12/7/2023,2/5/2024,IN
431,SANTA BARBARA,GUADALUPE,6,INITIAL DRAFT,OUT,7/21/2023,10/19/2023,OUT
432,SANTA BARBARA,LOMPOC,6,ADOPTED,OUT,12/1/2023,1/29/2024,OUT
433,SANTA BARBARA,SANTA BARBARA,6,ADOPTED,IN,12/21/2023,2/13/2024,IN
434,SANTA BARBARA,SANTA BARBARA COUNTY,6,ADOPTED,IN,12/8/2023,1/22/2024,IN
435,SANTA BARBARA,SANTA MARIA,6,ADOPTED,IN,12/12/2023,1/2/2024,IN
436,SANTA BARBARA,SOLVANG,6,ADOPTED,IN,12/14/2023,2/12/2024,IN
437,SANTA CLARA,CAMPBELL,6,ADOPTED,IN,4/26/2023,5/30/2023,IN
438,SANTA CLARA,CUPERTINO,6,SUBSEQUENT DRAFT,IN REVIEW,2/27/2024,,OUT
439,SANTA CLARA,GILROY,6,ADOPTED,IN,8/9/2023,8/21/2023,IN
440,SANTA CLARA,LOS ALTOS,6,ADOPTED,IN,8/18/2023,9/5/2023,IN
441,SANTA CLARA,LOS ALTOS HILLS,6,ADOPTED,IN,4/27/2023,5/30/2023,IN
442,SANTA CLARA,LOS GATOS,6,SUBSEQUENT DRAFT,IN REVIEW,3/18/2024,,OUT
443,SANTA CLARA,MILPITAS,6,ADOPTED,IN,5/16/2023,5/17/2023,IN
444,SANTA CLARA,MONTE SERENO,6,SUBSEQUENT DRAFT,IN REVIEW,2/22/2024,,OUT
445,SANTA CLARA,MORGAN HILL,6,ADOPTED,IN,10/5/2023,11/29/2023,IN
446,SANTA CLARA,MOUNTAIN VIEW,6,ADOPTED,IN,4/26/2023,5/26/2023,IN
447,SANTA CLARA,PALO ALTO,6,ADOPTED,OUT,6/7/2023,8/3/2023,OUT
448,SANTA CLARA,SAN JOSE,6,ADOPTED,IN,11/30/2023,1/29/2024,IN
449,SANTA CLARA,SANTA CLARA,6,ADOPTED,OUT,8/23/2023,10/20/2023,OUT
450,SANTA CLARA,SANTA CLARA COUNTY,6,SUBSEQUENT DRAFT,OUT,10/19/2023,12/18/2023,OUT
451,SANTA CLARA,SARATOGA,6,SUBSEQUENT DRAFT,IN REVIEW,1/25/2024,,OUT
452,SANTA CLARA,SUNNYVALE,6,ADOPTED,IN,2/29/2024,3/6/2024,IN
453,SANTA CRUZ,CAPITOLA,6,ADOPTED,OUT,11/15/2023,1/12/2024,OUT
454,SANTA CRUZ,SANTA CRUZ,6,ADOPTED,IN,12/15/2023,12/20/2023,IN
455,SANTA CRUZ,SANTA CRUZ COUNTY,6,ADOPTED,IN REVIEW,2/23/2024,,OUT
456,SANTA CRUZ,SCOTTS VALLEY,6,ADOPTED,IN REVIEW,2/2/2024,,OUT
457,SANTA CRUZ,WATSONVILLE,6,INITIAL DRAFT,IN REVIEW,2/12/2024,,OUT
458,SHASTA,ANDERSON,6,ADOPTED,IN,7/24/2020,8/4/2020,IN
459,SHASTA,REDDING,6,ADOPTED,IN,6/16/2020,6/19/2020,IN
460,SHASTA,SHASTA COUNTY,6,ADOPTED,IN,8/10/2020,8/14/2020,IN
461,SHASTA,SHASTA LAKE,6,ADOPTED,IN,8/12/2020,9/11/2020,IN
462,SIERRA,LOYALTON,6,ADOPTED,IN,5/12/2021,6/22/2021,IN
463,SIERRA,SIERRA COUNTY,6,ADOPTED,IN,12/3/2020,12/31/2020,IN
464,SISKIYOU,DORRIS,6,INITIAL DRAFT,OUT,11/1/2023,1/29/2024,OUT
465,SISKIYOU,DUNSMUIR,6,INITIAL DRAFT,OUT,12/6/2023,3/4/2024,OUT
466,SISKIYOU,ETNA,6,INITIAL DRAFT,OUT,11/9/2023,2/7/2024,OUT
467,SISKIYOU,FORT JONES,6,INITIAL DRAFT,OUT,12/11/2023,3/6/2024,OUT
468,SISKIYOU,MONTAGUE,6,INITIAL DRAFT,OUT,11/20/2023,2/13/2024,OUT
469,SISKIYOU,MOUNT SHASTA,6,ADOPTED,OUT,1/12/2024,3/12/2024,OUT
470,SISKIYOU,SISKIYOU COUNTY,6,ADOPTED,IN,11/16/2023,1/8/2024,IN
471,SISKIYOU,TULELAKE,6,INITIAL DRAFT,OUT,11/2/2023,1/31/2024,OUT
472,SISKIYOU,WEED,6,INITIAL DRAFT,OUT,9/6/2023,12/5/2023,OUT
473,SISKIYOU,YREKA,6,ADOPTED,IN,7/3/2023,9/1/2023,IN
474,SOLANO,BENICIA,6,ADOPTED,IN REVIEW,3/5/2024,,OUT
475,SOLANO,DIXON,6,ADOPTED,IN,3/27/2023,5/24/2023,IN
476,SOLANO,FAIRFIELD,6,ADOPTED,IN,2/9/2023,4/10/2023,IN
477,SOLANO,RIO VISTA,6,ADOPTED,IN,7/31/2023,9/1/2023,IN
478,SOLANO,SOLANO COUNTY,6,ADOPTED,IN REVIEW,2/9/2024,,OUT
479,SOLANO,SUISUN CITY,6,ADOPTED,IN,3/24/2023,5/23/2023,IN
480,SOLANO,VACAVILLE,6,ADOPTED,IN,7/28/2023,9/18/2023,IN
481,SOLANO,VALLEJO,6,INITIAL DRAFT,OUT,11/2/2023,1/31/2024,OUT
482,SONOMA,CLOVERDALE,6,ADOPTED,IN,7/31/2023,9/26/2023,IN
483,SONOMA,COTATI,6,ADOPTED,IN,4/3/2023,6/2/2023,IN
484,SONOMA,HEALDSBURG,6,ADOPTED,IN,5/2/2023,6/29/2023,IN
485,SONOMA,PETALUMA,6,ADOPTED,IN,3/22/2023,5/18/2023,IN
486,SONOMA,ROHNERT PARK,6,ADOPTED,IN,1/26/2023,3/20/2023,IN
487,SONOMA,SANTA ROSA,6,ADOPTED,IN,2/16/2023,4/7/2023,IN
488,SONOMA,SEBASTOPOL,6,ADOPTED,IN,1/9/2023,3/7/2023,IN
489,SONOMA,SONOMA,6,ADOPTED,IN,2/14/2023,4/13/2023,IN
490,SONOMA,SONOMA COUNTY,6,ADOPTED,IN,8/30/2023,10/26/2023,IN
491,SONOMA,WINDSOR,6,ADOPTED,IN,8/18/2023,8/31/2023,IN
492,STANISLAUS,CERES,6,INITIAL DRAFT,OUT,9/15/2023,12/14/2023,OUT
493,STANISLAUS,HUGHSON,6,NEW CYCLE,DUE,12/31/2023,12/31/2023,OUT
494,STANISLAUS,MODESTO,6,SUBSEQUENT DRAFT,IN REVIEW,2/23/2024,,OUT
495,STANISLAUS,NEWMAN,6,INITIAL DRAFT,OUT,10/25/2023,1/23/2024,OUT
496,STANISLAUS,OAKDALE,6,NEW CYCLE,DUE,12/31/2023,12/31/2023,OUT
497,STANISLAUS,PATTERSON,6,NEW CYCLE,DUE,12/31/2023,12/31/2023,OUT
498,STANISLAUS,RIVERBANK,6,NEW CYCLE,DUE,12/31/2023,12/31/2023,OUT
499,STANISLAUS,STANISLAUS COUNTY,6,INITIAL DRAFT,OUT,11/17/2023,2/14/2024,OUT
500,STANISLAUS,TURLOCK,6,NEW CYCLE,DUE,12/31/2023,12/31/2023,OUT
501,STANISLAUS,WATERFORD,6,NEW CYCLE,DUE,12/31/2023,12/31/2023,OUT
502,SUTTER,LIVE OAK,6,ADOPTED,OUT,9/13/2021,12/9/2021,OUT
503,SUTTER,SUTTER COUNTY,6,ADOPTED,IN,8/16/2021,11/9/2021,IN
504,SUTTER,YUBA CITY,6,ADOPTED,IN,3/16/2022,5/5/2022,IN
505,TEHAMA,CORNING,6,ADOPTED,IN,1/8/2021,3/22/2021,IN
506,TEHAMA,RED BLUFF,6,ADOPTED,IN,5/6/2020,5/19/2020,IN
507,TEHAMA,TEHAMA,6,ADOPTED,IN,10/23/2020,1/15/2021,IN
508,TEHAMA,TEHAMA COUNTY,6,ADOPTED,IN,9/4/2019,10/2/2019,IN
509,TRINITY,TRINITY COUNTY,6,ADOPTED,IN,4/2/2020,4/6/2020,IN
510,TULARE,DINUBA,6,NEW CYCLE,DUE,12/31/2023,12/31/2023,OUT
511,TULARE,EXETER,6,NEW CYCLE,DUE,12/31/2023,12/31/2023,OUT
512,TULARE,FARMERSVILLE,6,NEW CYCLE,DUE,12/31/2023,12/31/2023,OUT
513,TULARE,LINDSAY,6,NEW CYCLE,DUE,12/31/2023,12/31/2023,OUT
514,TULARE,PORTERVILLE,6,NEW CYCLE,DUE,12/31/2023,12/31/2023,OUT
515,TULARE,TULARE,6,NEW CYCLE,DUE,12/31/2023,12/31/2023,OUT
516,TULARE,TULARE COUNTY,6,SUBSEQUENT DRAFT,IN REVIEW,3/14/2024,,OUT
517,TULARE,VISALIA,6,ADOPTED,OUT,12/28/2023,2/26/2024,OUT
518,TULARE,WOODLAKE,6,NEW CYCLE,DUE,12/31/2023,12/31/2023,OUT
519,TUOLUMNE,SONORA,6,ADOPTED,IN,4/28/2020,5/6/2020,IN
520,TUOLUMNE,TUOLUMNE COUNTY,7,INITIAL DRAFT,OUT,12/19/2023,3/18/2024,IN
521,VENTURA,CAMARILLO,6,ADOPTED,IN,3/23/2023,4/14/2023,IN
522,VENTURA,FILLMORE,6,SUBSEQUENT DRAFT,OUT,11/28/2023,1/25/2024,OUT
523,VENTURA,MOORPARK,6,ADOPTED,IN,2/22/2023,4/20/2023,IN
524,VENTURA,OJAI,6,ADOPTED,IN,8/1/2023,8/10/2023,IN
525,VENTURA,OXNARD,6,ADOPTED,IN,10/5/2022,10/25/2022,IN
526,VENTURA,PORT HUENEME,6,ADOPTED,IN,8/15/2022,10/5/2022,IN
527,VENTURA,SANTA PAULA,6,ADOPTED,IN,12/22/2023,2/12/2024,IN
528,VENTURA,SIMI VALLEY,6,ADOPTED,IN,3/23/2023,5/18/2023,IN
529,VENTURA,THOUSAND OAKS,6,SUBSEQUENT DRAFT,IN,7/12/2023,9/8/2023,OUT
530,VENTURA,VENTURA,6,ADOPTED,IN,8/16/2023,10/9/2023,IN
531,VENTURA,VENTURA COUNTY,6,ADOPTED,IN,10/15/2021,12/22/2021,IN
532,YOLO,DAVIS,6,ADOPTED,IN,12/14/2023,2/8/2024,IN
533,YOLO,WEST SACRAMENTO,6,ADOPTED,IN,11/30/2021,2/16/2022,IN
534,YOLO,WINTERS,6,ADOPTED,IN,3/29/2022,5/11/2022,IN
535,YOLO,WOODLAND,6,ADOPTED,IN,4/3/2023,4/28/2023,IN
536,YOLO,YOLO COUNTY,6,ADOPTED,IN,9/24/2021,12/21/2021,IN
537,YUBA,MARYSVILLE,6,ADOPTED,IN,12/10/2021,2/2/2022,IN
538,YUBA,WHEATLAND,6,SUBSEQUENT DRAFT,OUT,9/19/2023,11/16/2023,OUT
539,YUBA,YUBA COUNTY,6,ADOPTED,IN,9/14/2021,12/10/2021,IN
540,,,,,,,,
541,No filters applied,,,,,,,
